ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_93_1_m99999-1_m99099_felt2___20260313-145715.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_93_hp1_f2_20260313-145715

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:57:15
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 899
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99999
Kjørefelt		: 2
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99099,9405956182
Kjørefelt		: 2
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 900	: 1	: 	: 93	: 1	: 99099	: 100000

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
158,0	1	99842,0	1	99841,0	22,8	159,8	-2,7	2000	NaN	NaN	C	5262	76,5	71,7	56	59,3551488	24,7120372	6619919,25	1050943,27	102,3	341,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	102,3	22,8	-57,4	20,2	102,3	22,8	159,8	-2,7	341,8	101,1	20,3	-57,4	20,3	16,1	20,3	159,1	-2,6	148,4	102,3	24,3	-56,7	22,0	102,3	24,3	159,1	-2,6	393,2	94,7	46,8	-52,9	51,2	-179,4	0,0	145,8	-2,6	0,0	101,1	11,0	-57,4	12,1	179,7	27,1	159,1	-2,7	216,0	102,3	22,8	-57,4	20,2	102,3	22,8	159,8	-2,7	341,8	
159,0	1	99841,0	1	99840,0	22,8	160,9	-2,8	2000	NaN	NaN	C	5311	76,5	71,7	56	59,3551577	24,7120435	6619920,29	1050943,49	103,0	338,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	103,0	22,8	-56,2	19,4	103,0	22,8	160,9	-2,8	338,7	101,1	19,9	-58,5	19,9	12,6	19,9	159,7	-2,7	138,1	101,7	23,9	-55,6	20,9	101,7	23,9	157,9	-2,7	397,1	94,7	46,7	-53,0	50,1	-179,3	0,0	147,3	-2,7	0,0	101,1	10,5	-58,5	11,7	179,7	27,0	159,7	-2,8	213,5	103,0	22,8	-56,2	19,4	103,0	22,8	160,9	-2,8	338,7	
160,0	1	99840,0	1	99839,0	23,4	158,8	-2,8	2000	NaN	NaN	C	5353	76,5	71,7	56	59,3551653	24,7120490	6619921,18	1050943,67	102,2	321,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	102,2	23,4	-56,1	18,6	102,2	23,4	158,8	-2,8	321,5	101,4	19,4	-56,1	19,4	14,1	19,4	157,7	-2,8	134,2	102,2	24,2	-55,2	20,4	102,2	24,2	158,2	-2,8	359,8	96,8	46,5	-50,4	49,1	-179,6	0,0	147,2	-2,8	0,0	101,4	11,3	-56,1	11,3	179,6	26,5	157,7	-2,8	208,8	102,2	23,4	-56,1	18,6	102,2	23,4	158,8	-2,8	321,5	
161,0	1	99839,0	1	99838,0	23,3	158,0	-2,7	2000	NaN	NaN	C	5402	76,5	71,7	56	59,3551743	24,7120554	6619922,22	1050943,88	103,2	323,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	103,2	23,3	-56,7	18,9	103,2	23,3	158,0	-2,7	323,2	101,1	19,6	-56,7	19,6	12,7	19,6	157,9	-2,7	133,5	102,5	24,2	-56,1	20,6	102,5	24,2	157,2	-2,7	363,0	96,9	46,5	-53,0	49,3	-179,5	0,0	149,3	-2,7	0,0	101,1	11,4	-56,7	11,4	179,5	26,7	157,9	-2,7	209,8	103,2	23,3	-56,7	18,9	103,2	23,3	158,0	-2,7	323,2	
162,0	1	99838,0	1	99837,0	22,8	160,9	-2,7	2000	NaN	NaN	C	5450	76,5	71,7	56	59,3551832	24,7120617	6619923,26	1050944,10	104,8	320,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	104,8	22,8	-57,5	19,3	104,8	22,8	160,9	-2,7	320,9	102,6	19,4	-58,0	19,4	15,0	19,4	160,6	-2,6	136,4	104,8	24,2	-57,5	21,4	104,8	24,2	160,9	-2,6	370,6	93,9	46,5	-53,0	50,3	-179,6	0,0	144,9	-2,6	0,0	101,7	10,9	-58,0	11,8	179,6	27,4	159,8	-2,7	213,2	104,8	22,8	-57,5	19,3	104,8	22,8	160,9	-2,7	320,9	
163,0	1	99837,0	1	99836,0	22,8	158,8	-2,7	2000	NaN	NaN	C	5499	76,5	71,7	56	59,3551921	24,7120681	6619924,30	1050944,31	104,2	332,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	104,2	22,8	-55,5	19,2	104,2	22,8	158,8	-2,7	332,0	103,3	19,3	-55,5	19,3	13,3	19,3	158,6	-2,7	135,4	104,2	24,2	-55,5	21,2	104,2	24,2	158,8	-2,7	380,9	98,4	46,2	-51,8	50,4	-179,6	0,0	149,3	-2,7	0,0	103,3	10,7	-55,6	11,6	179,7	27,1	158,7	-2,7	211,2	104,2	22,8	-55,5	19,2	104,2	22,8	158,8	-2,7	332,0	
164,0	1	99836,0	1	99835,0	23,0	158,9	-2,6	2000	NaN	NaN	C	5548	76,5	71,7	56	59,3551998	24,7120736	6619925,19	1050944,49	103,2	342,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	103,2	23,0	-56,9	19,8	103,2	23,0	158,9	-2,6	342,7	101,2	19,4	-56,3	19,4	16,8	19,4	158,1	-2,5	139,5	102,5	24,7	-55,6	22,1	102,5	24,7	158,3	-2,5	408,2	94,1	46,9	-51,8	51,2	-179,7	0,0	145,7	-2,5	0,0	100,9	10,5	-56,9	11,9	179,5	27,6	158,1	-2,6	215,9	103,2	23,0	-56,9	19,8	103,2	23,0	158,9	-2,6	342,7	
165,0	1	99835,0	1	99834,0	22,4	157,3	-2,6	2000	NaN	NaN	C	5590	76,6	71,7	56	59,3552074	24,7120790	6619926,08	1050944,68	102,8	329,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	102,8	22,4	-54,7	19,6	102,8	22,4	157,3	-2,6	329,2	102,5	19,8	-54,7	19,8	15,9	19,8	157,3	-2,5	141,5	102,5	23,7	-54,7	21,5	102,5	23,7	157,3	-2,5	379,5	96,1	45,8	-52,4	50,5	-179,6	0,0	146,8	-2,5	0,0	102,5	10,4	-54,9	11,9	179,5	27,5	157,4	-2,6	214,5	102,8	22,4	-54,7	19,6	102,8	22,4	157,3	-2,6	329,2	
166,0	1	99834,0	1	99833,0	22,8	161,9	-2,6	2000	NaN	NaN	C	5639	76,6	71,7	56	59,3552164	24,7120854	6619927,12	1050944,89	103,4	327,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	103,4	22,8	-57,5	19,3	103,4	22,8	161,9	-2,6	327,4	103,4	19,9	-57,5	19,9	15,0	19,9	161,1	-2,5	142,9	103,4	24,1	-57,5	21,0	103,4	24,1	161,2	-2,5	379,0	96,8	46,4	-51,2	49,9	-179,6	0,0	147,4	-2,5	0,0	101,2	10,8	-57,5	11,7	179,7	27,3	160,3	-2,6	212,2	103,4	22,8	-57,5	19,3	103,4	22,8	161,9	-2,6	327,4	
167,0	1	99833,0	1	99832,0	23,4	161,4	-2,5	2000	NaN	NaN	C	5681	76,6	71,7	56	59,3552241	24,7120908	6619928,02	1050945,07	104,8	340,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	104,8	23,4	-56,1	19,7	104,8	23,4	161,4	-2,5	340,5	103,3	20,0	-56,1	20,0	15,0	20,0	159,5	-2,4	145,0	104,1	24,6	-55,9	21,7	104,1	24,6	160,5	-2,4	392,2	96,0	46,7	-51,8	50,8	-179,6	0,0	147,9	-2,4	0,0	103,3	10,9	-56,1	12,0	179,6	27,9	159,7	-2,5	215,5	104,8	23,4	-56,1	19,7	104,8	23,4	161,4	-2,5	340,5	
168,0	1	99832,0	1	99831,0	23,8	161,5	-2,5	2000	NaN	NaN	C	5737	76,6	71,7	56	59,3552343	24,7120981	6619929,21	1050945,32	103,7	350,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	103,7	23,8	-56,2	19,9	103,7	23,8	161,5	-2,5	350,5	101,5	20,2	-56,9	20,2	14,7	20,2	158,2	-2,5	145,5	102,2	24,8	-55,9	21,9	102,2	24,8	158,0	-2,5	414,6	96,5	47,4	-50,6	51,2	-179,6	0,0	148,1	-2,5	0,0	101,2	11,0	-56,5	11,9	179,7	28,4	157,1	-2,5	216,5	103,7	23,8	-56,2	19,9	103,7	23,8	161,5	-2,5	350,5	
169,0	1	99831,0	1	99830,0	23,3	159,2	-2,5	2000	NaN	NaN	C	5780	76,6	71,7	56	59,3552420	24,7121036	6619930,10	1050945,50	105,0	341,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	105,0	23,3	-54,1	20,3	105,0	23,3	159,2	-2,5	341,7	102,8	20,2	-54,1	20,2	18,3	20,2	156,8	-2,4	147,6	103,6	24,8	-54,1	22,2	103,6	24,8	156,8	-2,4	403,7	95,2	46,9	-51,5	51,7	-179,6	0,0	146,7	-2,4	0,0	102,7	10,7	-54,1	12,2	179,6	28,4	156,7	-2,5	219,0	105,0	23,3	-54,1	20,3	105,0	23,3	159,2	-2,5	341,7	
170,0	1	99830,0	1	99829,0	23,9	159,7	-2,4	2000	NaN	NaN	C	5829	76,6	71,7	56	59,3552509	24,7121099	6619931,14	1050945,72	104,1	342,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	104,1	23,9	-56,1	20,2	104,1	23,9	159,7	-2,4	342,2	103,4	20,3	-55,6	20,3	16,2	20,3	158,9	-2,3	142,3	103,9	25,2	-55,0	22,7	103,9	25,2	158,4	-2,3	400,9	97,6	47,3	-51,2	52,0	-179,6	0,0	147,2	-2,3	0,0	103,4	10,9	-56,1	12,2	179,2	28,6	159,0	-2,4	219,5	104,1	23,9	-56,1	20,2	104,1	23,9	159,7	-2,4	342,2	
171,0	1	99829,0	1	99828,0	22,5	160,6	-2,3	2000	NaN	NaN	C	5871	76,7	71,7	56	59,3552586	24,7121154	6619932,04	1050945,90	105,2	338,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	105,2	22,5	-56,2	20,7	105,2	22,5	160,6	-2,3	338,0	104,5	19,8	-56,2	19,8	15,3	19,8	160,2	-2,1	134,3	104,5	24,2	-56,2	23,5	104,5	24,2	160,2	-2,1	406,0	97,9	45,9	-52,4	52,4	-179,7	0,0	150,1	-2,1	0,0	104,2	10,2	-56,2	12,7	179,3	28,6	158,9	-2,3	215,8	105,2	22,5	-56,2	20,7	105,2	22,5	160,6	-2,3	338,0	
172,0	1	99828,0	1	99827,0	22,8	163,5	-2,3	2000	NaN	NaN	C	5927	76,7	71,7	56	59,3552688	24,7121227	6619933,23	1050946,14	107,6	332,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	107,6	22,8	-55,4	20,4	107,6	22,8	163,5	-2,3	332,4	104,9	19,6	-55,6	19,6	14,5	19,6	162,3	-2,1	142,8	106,1	24,1	-54,6	22,5	106,1	24,1	161,9	-2,1	386,0	96,7	45,6	-53,1	51,6	-179,6	0,0	149,1	-2,1	0,0	104,1	10,0	-55,6	12,8	179,3	28,9	161,2	-2,3	216,9	107,6	22,8	-55,4	20,4	107,6	22,8	163,5	-2,3	332,4	
173,0	1	99827,0	1	99826,0	23,4	161,7	-2,3	2000	NaN	NaN	C	5970	76,7	71,7	56	59,3552752	24,7121272	6619933,98	1050946,29	106,6	337,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	106,6	23,4	-55,9	19,6	106,6	23,4	161,7	-2,3	337,1	105,6	20,2	-55,9	20,2	15,0	20,2	161,1	-2,3	145,3	106,6	24,0	-55,9	21,2	106,6	24,0	161,1	-2,3	374,8	98,1	45,4	-52,1	50,3	-179,7	0,0	149,7	-2,3	0,0	105,6	10,9	-57,4	11,9	179,3	27,3	161,1	-2,3	215,3	106,6	23,4	-55,9	19,6	106,6	23,4	161,7	-2,3	337,1	
174,0	1	99826,0	1	99825,0	23,7	161,6	-2,3	2000	NaN	NaN	C	6019	76,7	71,7	56	59,3552841	24,7121336	6619935,02	1050946,51	105,6	336,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	105,6	23,7	-55,7	19,9	105,6	23,7	161,6	-2,3	336,9	104,8	20,1	-55,7	20,1	17,4	20,1	160,7	-2,3	144,2	104,8	24,5	-55,7	21,8	104,8	24,5	159,8	-2,3	384,2	98,5	46,4	-52,4	51,0	-179,6	0,0	151,0	-2,3	0,0	104,1	10,8	-55,7	12,1	179,3	27,9	160,7	-2,3	215,0	105,6	23,7	-55,7	19,9	105,6	23,7	161,6	-2,3	336,9	
175,0	1	99825,0	1	99824,0	23,2	164,7	-2,3	2000	NaN	NaN	C	6062	76,7	71,7	56	59,3552918	24,7121390	6619935,91	1050946,69	106,0	334,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	106,0	23,2	-58,7	19,6	106,0	23,2	164,7	-2,3	334,5	105,0	19,9	-58,7	19,9	14,1	19,9	162,9	-2,2	145,6	105,3	24,4	-57,8	21,6	105,3	24,4	162,0	-2,2	382,9	98,0	46,1	-52,8	50,7	-179,7	0,0	151,7	-2,2	0,0	104,6	10,8	-58,7	11,8	179,3	27,6	162,9	-2,3	209,1	106,0	23,2	-58,7	19,6	106,0	23,2	164,7	-2,3	334,5	
176,0	1	99824,0	1	99823,0	23,1	166,8	-2,3	2000	NaN	NaN	C	6104	76,7	71,7	56	59,3552995	24,7121445	6619936,81	1050946,88	108,9	328,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	108,9	23,1	-58,4	19,5	108,9	23,1	166,8	-2,3	328,0	107,1	19,6	-60,2	19,6	14,8	19,6	166,2	-2,2	146,7	108,2	24,2	-57,5	21,8	108,2	24,2	165,3	-2,2	386,5	98,3	46,2	-53,9	50,6	-179,5	0,0	150,8	-2,2	0,0	105,3	10,5	-60,6	11,8	179,5	28,1	165,4	-2,3	212,3	108,9	23,1	-58,4	19,5	108,9	23,1	166,8	-2,3	328,0	
177,0	1	99823,0	1	99822,0	23,3	164,8	-2,3	2000	NaN	NaN	C	6154	76,7	71,7	56	59,3553085	24,7121509	6619937,85	1050947,09	107,8	337,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	107,8	23,3	-58,1	19,3	107,8	23,3	164,8	-2,3	337,9	104,9	19,1	-58,1	19,1	15,0	19,1	162,4	-2,2	134,4	106,4	24,7	-56,3	21,5	106,4	24,7	164,8	-2,2	400,4	98,3	46,5	-51,7	50,8	-179,6	0,0	150,8	-2,2	0,0	104,9	10,7	-58,1	11,6	179,5	28,6	162,4	-2,3	211,3	107,8	23,3	-58,1	19,3	107,8	23,3	164,8	-2,3	337,9	
178,0	1	99822,0	1	99821,0	22,9	164,1	-2,4	2000	NaN	NaN	C	6203	76,8	71,7	56	59,3553174	24,7121573	6619938,90	1050947,31	107,1	333,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	107,1	22,9	-56,9	18,7	107,1	22,9	164,1	-2,4	333,9	106,3	18,5	-56,9	18,5	18,6	18,5	163,0	-2,4	131,5	107,1	24,4	-54,9	21,4	107,1	24,4	162,2	-2,4	398,6	100,5	46,3	-52,4	50,9	-179,5	0,0	152,8	-2,4	0,0	106,3	10,6	-56,9	11,3	179,4	27,1	163,0	-2,4	202,8	107,1	22,9	-56,9	18,7	107,1	22,9	164,1	-2,4	333,9	
179,0	1	99821,0	1	99820,0	22,5	162,1	-2,4	2000	NaN	NaN	C	6253	76,8	71,7	56	59,3553264	24,7121638	6619939,94	1050947,53	106,3	336,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	106,3	22,5	-55,0	19,4	106,3	22,5	162,1	-2,4	336,1	106,2	18,9	-55,0	18,9	18,0	18,9	161,4	-2,3	130,5	106,2	24,1	-55,0	22,3	106,2	24,1	161,2	-2,3	403,4	98,3	45,9	-51,2	51,7	-179,6	0,0	149,0	-2,3	0,0	106,2	10,4	-55,0	11,7	179,5	27,4	161,4	-2,4	203,8	106,3	22,5	-55,0	19,4	106,3	22,5	162,1	-2,4	336,1	
180,0	1	99820,0	1	99819,0	23,0	162,7	-2,5	2000	NaN	NaN	C	6303	76,8	71,7	56	59,3553354	24,7121702	6619940,99	1050947,74	107,6	340,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	107,6	23,0	-55,7	19,6	107,6	23,0	162,7	-2,5	340,5	106,3	19,3	-55,7	19,3	16,8	19,3	162,0	-2,4	140,6	106,9	24,0	-54,5	21,3	106,9	24,0	162,0	-2,4	392,0	99,7	45,9	-50,0	51,1	-179,6	0,0	149,8	-2,4	0,0	106,3	10,7	-55,7	11,5	179,4	27,1	162,0	-2,5	209,5	107,6	23,0	-55,7	19,6	107,6	23,0	162,7	-2,5	340,5	
181,0	1	99819,0	1	99818,0	22,5	164,4	-2,6	2000	NaN	NaN	C	6345	76,8	71,7	56	59,3553431	24,7121757	6619941,88	1050947,93	108,4	339,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	108,4	22,5	-55,3	19,0	108,4	22,5	164,4	-2,6	339,0	105,9	19,1	-55,3	19,1	17,7	19,1	161,7	-2,5	139,5	107,4	23,8	-54,4	21,6	107,4	23,8	161,7	-2,5	392,5	98,0	45,5	-52,2	50,8	-179,7	0,0	150,6	-2,5	0,0	105,6	10,1	-55,3	11,4	179,3	27,0	161,2	-2,6	205,6	108,4	22,5	-55,3	19,0	108,4	22,5	164,4	-2,6	339,0	
182,0	1	99818,0	1	99817,0	22,6	160,7	-2,6	2000	NaN	NaN	C	6388	76,9	71,7	56	59,3553507	24,7121812	6619942,78	1050948,11	106,3	331,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	106,3	22,6	-54,7	19,5	106,3	22,6	160,7	-2,6	331,5	104,6	19,6	-54,0	19,6	17,4	19,6	159,6	-2,6	138,5	104,6	23,6	-54,0	21,2	104,6	23,6	159,6	-2,6	377,2	98,3	45,6	-50,2	50,8	-179,6	0,0	148,6	-2,6	0,0	104,6	10,5	-54,7	11,5	179,4	26,0	160,4	-2,6	205,9	106,3	22,6	-54,7	19,5	106,3	22,6	160,7	-2,6	331,5	
183,0	1	99817,0	1	99816,0	22,3	164,9	-2,7	2000	NaN	NaN	C	6438	76,9	71,7	56	59,3553597	24,7121876	6619943,82	1050948,33	108,5	346,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	108,5	22,3	-56,9	20,1	108,5	22,3	164,9	-2,7	346,5	107,6	19,8	-56,8	19,8	15,6	19,8	164,0	-2,5	142,3	107,6	23,6	-55,7	22,4	107,6	23,6	163,4	-2,5	402,2	98,2	45,5	-51,9	51,7	-179,4	0,0	150,6	-2,5	0,0	107,6	10,4	-56,8	11,8	179,3	26,8	164,0	-2,7	209,9	108,5	22,3	-56,9	20,1	108,5	22,3	164,9	-2,7	346,5	
184,0	1	99816,0	1	99815,0	22,0	161,4	-2,6	2000	NaN	NaN	C	6480	76,9	71,7	56	59,3553674	24,7121930	6619944,72	1050948,51	106,8	339,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	106,8	22,0	-55,0	19,6	106,8	22,0	161,4	-2,6	339,5	106,4	19,3	-54,1	19,3	16,2	19,3	160,4	-2,6	132,4	106,4	23,2	-54,1	21,5	106,4	23,2	160,8	-2,6	386,5	97,6	45,3	-51,9	51,1	-179,6	0,0	148,5	-2,6	0,0	106,4	10,4	-55,0	11,5	179,5	25,8	160,7	-2,6	202,8	106,8	22,0	-55,0	19,6	106,8	22,0	161,4	-2,6	339,5	
185,0	1	99815,0	1	99814,0	22,6	160,1	-2,7	2000	NaN	NaN	C	6530	76,9	71,7	56	59,3553764	24,7121994	6619945,76	1050948,72	105,7	322,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	105,7	22,6	-53,1	18,7	105,7	22,6	160,1	-2,7	322,3	104,1	19,6	-54,5	19,6	15,6	19,6	159,3	-2,6	136,5	105,7	23,3	-53,1	20,0	105,7	23,3	160,1	-2,6	354,4	98,3	44,8	-51,9	49,5	-179,5	0,0	150,2	-2,6	0,0	104,1	10,7	-54,5	11,2	179,4	26,1	159,3	-2,7	200,7	105,7	22,6	-53,1	18,7	105,7	22,6	160,1	-2,7	322,3	
186,0	1	99814,0	1	99813,0	22,2	161,0	-2,6	2000	NaN	NaN	C	6579	77,0	71,7	56	59,3553854	24,7122058	6619946,81	1050948,94	106,6	331,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	106,6	22,2	-54,4	19,1	106,6	22,2	161,0	-2,6	331,7	106,6	19,4	-54,4	19,4	15,0	19,4	161,0	-2,6	135,3	106,6	22,8	-54,4	21,2	106,6	22,8	161,0	-2,6	383,0	98,2	45,1	-51,9	50,8	-179,4	0,0	149,3	-2,6	0,0	105,1	10,4	-54,4	11,3	179,5	25,5	159,5	-2,6	197,4	106,6	22,2	-54,4	19,1	106,6	22,2	161,0	-2,6	331,7	
187,0	1	99813,0	1	99812,0	22,8	159,8	-2,5	2000	NaN	NaN	C	6629	77,0	71,7	56	59,3553943	24,7122122	6619947,86	1050949,16	106,2	324,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	106,2	22,8	-52,4	19,2	106,2	22,8	159,8	-2,5	324,6	105,6	20,2	-53,7	20,2	17,4	20,2	159,8	-2,4	143,5	106,2	22,9	-52,4	20,5	106,2	22,9	159,8	-2,4	351,3	99,1	44,8	-50,6	49,9	-179,8	0,0	149,0	-2,4	0,0	104,9	10,4	-53,7	11,7	179,5	26,3	159,8	-2,5	201,6	106,2	22,8	-52,4	19,2	106,2	22,8	159,8	-2,5	324,6	
188,0	1	99812,0	1	99811,0	22,2	163,0	-2,5	2000	NaN	NaN	C	6671	77,0	71,7	56	59,3554021	24,7122177	6619948,76	1050949,34	108,4	322,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	108,4	22,2	-55,9	18,6	108,4	22,2	163,0	-2,5	322,8	105,6	19,4	-55,9	19,4	13,2	19,4	162,8	-2,4	145,7	106,3	22,6	-54,6	19,8	106,3	22,6	160,8	-2,4	349,7	97,6	44,3	-50,0	49,0	-179,7	0,0	148,1	-2,4	0,0	104,8	10,0	-55,9	11,1	179,3	25,9	159,7	-2,5	197,6	108,4	22,2	-55,9	18,6	108,4	22,2	163,0	-2,5	322,8	
189,0	1	99811,0	1	99810,0	21,1	163,7	-2,5	2000	NaN	NaN	C	6713	77,0	71,7	56	59,3554098	24,7122232	6619949,66	1050949,53	108,1	330,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	108,1	21,1	-54,6	20,2	108,1	21,1	163,7	-2,5	330,9	108,1	19,7	-54,6	19,7	16,5	19,7	163,7	-2,4	148,9	107,5	21,9	-54,6	21,4	26,7	22,1	161,6	-2,4	357,1	99,4	43,6	-53,1	50,7	-179,4	0,0	151,2	-2,4	0,0	107,5	9,6	-54,6	12,1	179,6	26,0	161,6	-2,5	197,8	108,1	21,1	-54,6	20,2	108,1	21,1	163,7	-2,5	330,9	
